"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"資料倉儲工程師(資訊部)-歡迎具原住民身份投遞","旺旺友聯產物保險股份有限公司","產物保險業","1.具備資料倉儲開發2年以上實務經驗。
2.略熟 Microsoft SQL Server 2008 SSIS、SSAS以上版本或 IBM DataStage 11.0 版本工具。
3.熟悉 T-SQL ，且略懂 PL-SQL 語法。
4.略熟","台北市大安區","月薪33,000~45,000元","=HYPERLINK(""http:////www.104.com.tw/job/717pe?jobsource=n_my104_search"")"
"資料工程師 (BI分析)","雄獅資訊科技股份有限公司","電腦軟體服務業","1. 資料倉儲維護與優化
　- 內外部資料整合及收集
　- 資料庫預存程序 (SP) 管理及效能調整

2. 資料清理流程維護及優化
　- 工作流程規劃、建置及維護
　- 具 MSBI (MSSQL/SSIS/SSAS/SSRS/","台北市內湖區","月薪35,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/3o2f1?jobsource=n_my104_search"")"
"資料工程師 (Data Engineer)","契星科技股份有限公司","電腦軟體服務業","工作內容：
1. 開發資料科學管線、提供軟體產品背後演算邏輯及資料科學應用
2. 與PM、後端工程師、技術主管協作進行專案開發及測試
3. 熟悉SQL
4. 熟悉 Python
5. 熟悉 Git，會用Github
6. 會使用 Numpy,","台北市中山區","月薪45,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/88tmi?jobsource=n_my104_search"")"
"資料工程師(資訊策略發展部)_I00017395","國泰綜合證券股份有限公司","證券及期貨業","【工作內容】
1. 負責Hadoop、Spark相關數據湖open source維運以及優化
2. 數據分析、應用之相關程式(Python)開發
3. 負責Airflow維運
4. ETL數據清洗與數據模型程式維運與開發
5. 資料庫規劃、設計及","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8cmdl?jobsource=n_my104_search"")"
"EBS 財務系統暨資料倉儲工程師","三井住友海上集團_明台產物保險股份有限公司_數位科技處","產物保險業","1.各項資料蒐集、盤點與管理，持續優化資料品質並執行改善計畫。
2.資料倉儲ETL設計、開發與維護，改善ETL效能並依各營運需求建立DM。
3.針對各類資料應用場景，與使用者進行需求訪談、系統分析與程式開發。
4. 參與新專案資料架構、分析與執行","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7tise?jobsource=n_my104_search"")"
"DataStage ETL 數據工程師","皇霖實業股份有限公司","紡織成衣業","1. 因應業務需求支援各類型來源資料串接、資料處理，完善資料倉儲
3. 資料 ETL 流程自動化規劃、設計、開發與監控維護
4. 資料品質之監控與管理，及對應機制的建立
5. 熟悉使用 Infosphere Datastage & Control","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/89hvj?jobsource=n_my104_search"")"
"D4000Y 資料倉儲數據工程師","富邦媒體科技股份有限公司(富邦momo)","百貨相關業","我們在尋找具有熱情、創新和技術專業的資料工程師加入我們數據團隊，如果你對數據技術充滿熱情，熱於挑戰和解決各種數據問題，歡迎加入我們。


工作內容:
1. 負責ETL流程開發與維運，確保資料準確性與完整性。
2. 參與資料倉儲的設計、開發、優化和","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a7ae?jobsource=n_my104_search"")"
"資料倉儲與資料中台經理-- 台北","德昂資訊股份有限公司","電腦軟體服務業","接和轉換流程，尤其是從ERP、CRM和HR系統中處理數據。

執行（Do）
1.	監督資料倉儲和資料中台的建設和部署，確保按計劃進行。
2.	實施數據整合、轉換和加載過程（ETL），確保數據質量和實時性。
3.	領導團隊完成數據庫的維護和優化任務，","台北市松山區","年薪1,000,000~2,000,000元","=HYPERLINK(""http:////www.104.com.tw/job/8btam?jobsource=n_my104_search"")"
"DATA_(資深)資料工程師","博弘雲端科技股份有限公司","網際網路相關業","【工作內容】
1. 將概念性想法設計規劃為可執行的解決方案
2. 大數據專案的規劃，數據接入、清洗、建模與可視化的設計
3. 與機器學習工程師、雲端架構師、PM密切合作共同合作完成專案,供客戶高質量的雲端數據相關服務
4. 負責協助客戶整合、設計","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/83d0r?jobsource=n_my104_search"")"
"大型主機程式設計師","兆豐國際商業銀行股份有限公司","銀行業","※必要資格條件(須取得與具備) 
學歷：國內、外大學畢業，且已取得學士(含)以上學位(畢業)證書。
※面試得加分條件：
1.具商學或資訊相關系所畢業。
2.工作經歷：具銀行存匯、託收票據、ATM相關金融卡、信用卡、VISA DEBIT卡、銀聯卡、授信企金或消金等業務或資訊相關工作經驗。
3.專業技能：
(1)程式語言：具備COBOL、ASSEMBLY程式開發經驗。
(2)系統：具備CICS、VSAM經驗。
(3)資料庫：負責IBM大型主機，熟悉SQL Server/Oracle/DB2資料庫使用。
4.其他：
(1)理解軟體開發流程與資料庫規劃設計，可將需求轉換為流程與邏輯規則。
(2)溝通能力佳、抗壓性高，有團隊精神。
","台北市中正區","月薪44,000~53,700元","=HYPERLINK(""http:////www.104.com.tw/job/7moy6?jobsource=hotjob_chr"")"
"【ETL】數據工程師","綠色遊戲有限公司","電腦軟體服務業","1、參與資料庫的設計和實施工作； 
2、負責專案中資料處理相關的大量腳本開發與報表開發工作；
3、負責測試、投產以及投產演練過程中的資料移轉工作。","台北市大安區","年薪600,000~1,800,000元","=HYPERLINK(""http:////www.104.com.tw/job/8cuxs?jobsource=n_my104_search"")"
"廣告平台資料工程師","富邦媒體科技股份有限公司(富邦momo)","百貨相關業","設計，並協助開發滿足廣告業務發展相關的需求
2. 優化系統 Data Pipeline 處理海量用戶與廣告事件，提供即時且高效率的 OLAP 系統
3. 與演算法工程師與資料分析師協作開發廣告引擎模型與競價引擎
4. 關聯式與非關聯式資料庫的 DB","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8dbr3?jobsource=n_my104_search"")"
"資料工程師 / 數據服務架構師","玉山綜合證券股份有限公司","證券及期貨業","1. 資料倉儲管理與數據中心建置與管理
2. 負責資料蒐集及處理各項數據、資料建模、ETL 流程設計及演算法開發
3. 運用常見的 ML 或是 AI 演算法建立行銷、風險管理和流程自動化等應用服務
4. 進行數據應用與串接之需求訪談
5. 營運事","台北市松山區","月薪35,000~40,000元","=HYPERLINK(""http:////www.104.com.tw/job/889qn?jobsource=n_my104_search"")"
"數據工程師 【資料分析應用處】","邁達特數位股份有限公司","電腦軟體服務業","1.	因應客戶需求進行資料倉儲/資料超市設計與規劃。
2.	數據收集、盤點與管理。
3.	資料庫效能調教。
4.	數據ETL開發、測試與維護。
5.	利用ETL工具或T-SQL或Stored Procedure開發。

","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/82jky?jobsource=n_my104_search"")"
"資料工程師","數解人意科技股份有限公司","電腦軟體服務業","及合作夥伴多元，包括媒體、媒體代理商、整合行銷、公關、品牌、電子商務、影視產業、政府單位、學術機構及跨國企業等。


▋職務內容
1. 讀取與寫入自建之全文搜尋引擎、SQL 資料庫
2. 使用 ETL 管理工具如 Airflow，開發 ETL","台北市中山區","月薪50,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/85lh8?jobsource=n_my104_search"")"
"【資訊部】資料工程師(Data Engineer)","台灣知識庫股份有限公司","數位內容產業","1.負責數據管理，ETL流程規劃，以及資料分析所需之數據源預處理。
2.處理及挑戰Data相關工程問題，包括建立data pipeline、探勘收集處理。
3.管理數據庫（資料表日常維護及更新）、資料提取、資料倉儲。
4.建立自動化工具和腳本，簡","台北市中正區","月薪40,000~45,000元","=HYPERLINK(""http:////www.104.com.tw/job/7ck9p?jobsource=n_my104_search"")"
"資料工程師","翰霖科技資訊股份有限公司","電腦軟體服務業","【必要技能】

☑️ 負責TeraData資料庫遷移
☑️ 具備系統設計經驗3年以上經驗
☑️ 具備系統流程整合能力 MS Synapse、SQL server procedure 
☑️ 具備1年系統流程整合能力Azure資料管線開發經驗
☑️","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8csqc?jobsource=n_my104_search"")"
"資料工程師(數據應用部)","永豐金證券股份有限公司","證券及期貨業","析/資料工程相關二年以上工作經驗尤佳

【恰好有以下特質是加分的】
1. 具較強的溝通協調能力和團隊精神，熱愛程式與數據，喜歡研究新技術
2. 樂意跟同事們一起討論打造創新
3. 對大數據平台建置及程式開發有經驗或興趣者
","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ctxn?jobsource=n_my104_search"")"
"【數位驅動】資料科學工程師_ 數據管理_I00003122","國泰世華商業銀行股份有限公司_人力資源部","銀行業","【主要職責 Who we are looking for】 
負責企業資料倉儲之數據管理，包含 : 資料市集設計、海內外倉儲ETL批次之開發/維運/監控、倉儲相關數據整合加值運用與分析，提供高品質與有價值的資料分析應用。 
【職務說明 What","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/89ofn?jobsource=n_my104_search"")"
"資料工程師","廣晉軟體股份有限公司","電腦系統整合服務業","
需求條件：
1.熟SQL，能獨立作業
2.具二年以上相關經驗

主要工作如下：
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、解決方案建議與技術","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ltg0?jobsource=n_my104_search"")"
"資料工程師","普匯金融科技股份有限公司","電腦軟體服務業","式語言，能撰寫stored procedure程序，SQL校能調校。
2. 熟ETL工具運用，懂Talend工具佳。
3. 懂E-R model，熟SQL語法，了解程式端ORM建模。
4. 知悉MongoDB，懂json及XML結構，能做資料清洗及","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/682xq?jobsource=n_my104_search"")"
"ETL 工程師 (PS2A0)","資拓宏宇國際股份有限公司","電腦軟體服務業","績效獎金系統開發

1.熟悉MS SQL的操作
2.熟悉TSQL語法
3.熟悉ETL工具(會Trinity、Greenplum尤佳)
4.熟悉Git使用方式
5.邏輯推理能力良好
6.具有資料分析經驗、細心、負責","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8erqb?jobsource=n_my104_search"")"
"《台北中山》資料工程師","敦謙國際智能科技股份有限公司","旅遊服務業","• 營運策略系統 (RMS)
• 定價採集，多平台房源定價的抓取和分析工作，建立資料數據。
• 定價分析，善用資料探勘技術，分類分群並歸納出定價策略。
• 定價建議，根據數據透過機器學習，協助旅宿決定房間最佳定價。
• 建模預測，根據歷史銷售資料","台北市中山區","月薪42,000~90,000元","=HYPERLINK(""http:////www.104.com.tw/job/7b120?jobsource=n_my104_search"")"
"【研究發展處】Big Data Engineer 資料工程師 / Senior Big Data Engineer 資深資料工程師","現觀科技股份有限公司","電腦軟體服務業","Dashboard Visualization，並與產品開發團隊進行資料探勘及研究。

[工作內容]
1.開發大數據系統資料處理平台
2.串流資料平行處理程序開發,熟悉分散式運算,平行運算
3.解決大量資料處理時所衍生的效能,擴充與維護維運資料庫","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7bdqr?jobsource=n_my104_search"")"
"資料工程師","圖靈數位股份有限公司","其它軟體及網路相關業","行銷判讀，運營，轉化方面的戰略支持與技術方法。成員大多是技術工程師組成，協助客戶收集有用的數據，了解數據，利用數據。

目前是 Google Marketing Platform、Mixpanel、AB Tasty 認證合作夥伴。

公司福利：
・","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7v0e3?jobsource=n_my104_search"")"
"[ Python ] Senior Data Engineer 資料工程師  #Data & AI  #ACT台灣敏捷大賞獎2024","炬識科技股份有限公司","其它軟體及網路相關業"," Streaming Platform 等。
- 有 ETL 或資料分析案之專案經驗。
- 樂於與團隊互動、與客戶合作，並回應變化，願意了解客戶產業的領域知識以開發可用的軟體。
- 認同溝通的雙向性，職務內所需之訊息主動聽取、提出必要問題以正確理解，不依靠","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7kabt?jobsource=n_my104_search"")"
"資料工程師/後端工程師_13309","和碩集團_和碩聯合科技股份有限公司","電腦及其週邊設備製造業","減少開發時程，使用簡易清楚的操作介面進行效能監控與資料分析。
目前團隊主要負責資料工程、後端工程、DevOps與生成式AI四大領域，經過幾年的經驗累積，已在公司內部建立了許多成功的案例及數據分析系統。

本次職缺為 資料工程師&後端工程師
本團隊常","台北市北投區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8dnj3?jobsource=n_my104_search"")"
"【顧問部】顧問師/高級顧問師/副理(資料工程顧問)-317317","KPMG_安侯建業聯合會計師事務所","會計服務業","1.協助客戶進行需求分析、外部數據整合應用、資料清理設計與商業分析(BI)規劃
2.協助客戶進行資料市集(Data Mart)規劃、資料清理(ETL)程式開發與商業智慧(BI)建置","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/6zvmn?jobsource=n_my104_search"")"
"【Ocard顧客經營管家】數據/資料工程師 Data Engineer (擴編招募中)","Ocard_奧理科技股份有限公司","其它軟體及網路相關業","整性、可靠性與效能。
● 資料處理與轉換：開發與管理 ETL（Extract, Transform, Load）流程，將資料從多種來源抽取、清洗並轉換成有用的訊息。
● 資料管道建設：設計並實作資料管道，確保資料能夠從來源順利傳送到分析平台。
●","台北市中山區","年薪580,000~845,000元","=HYPERLINK(""http:////www.104.com.tw/job/8ervj?jobsource=n_my104_search"")"
"DevOps Engineer |  系統維運工程師 (Fintech)","一通數位有限公司","電腦軟體服務業","介紹：
我們是香港正規持牌證券商，總公司並於2022年正式於納斯達克上IPO(Nasdaq: TOP)建基於香港的成功商業模式及經驗，我們在台北設立了軟體研發中心，主力開發和完善的證券應用平台系統提供給客戶。
我們正在找正在尋找對DevOps/SRE技術擁有高度熱忱的夥伴, 如果你對於打造流暢、穩定，還能不斷擴充的開發和部署流程充滿熱情，那麼你將是我們團隊中不可或缺的一員。
您會負責相關平台層日常維護與故障排除。其次協助同部門的infra團隊持續研究與改進運維技術與工具，並為產品部門處理運維相關問題與故障排除，以及推行IT規範政策。

我们需要
-依照業務管理與維護雲端平台維運工作
-CI/CD 流程維護與優化 
-硬體維護包含員工電腦/視訊設備/網路設備/相關硬體管理
-執行測試腳本來構建軟件包，發布工程師確保新產品的配置和編碼正確，以便成功集成和運行、上版、更新、打包等作業支援
-構建測試環境並解決與軟件性能相關的任何問題、與 RD 合作解決任何問題並記錄修復以供將來參考資料使用
-負責系統的維運與監控，協助提升資源的穩定性、可擴展和質量
-處理升級事件、線上服務即時故障排除作業
-台灣地區Infra專案交辦事項

要求：
-有豐富網路應用系統維護運作經驗者
-熟悉網路攻防和數據備份技能
-過往有雲端或地端的服務維運、基礎設施建置經驗
-具Git Flow概念，CI/CD工具實作經驗
-具Docker 容器有相關使用經驗者優先
-Shell/Python中至少一種語言，善於使用腳本來完成系統日常運維工作和提升工作效率
-有任一監控系統相關經驗
-跨部門的溝通能力、 願意在高增長/擴展技術環境中工作
-KMS機制設計建立(ex:品牌建立、新設備採購過程、力行版本更新操作、系統架構圖…等)對於基礎建設拓荒(SRE)執行經驗佳
-熟運維監控軟體及日誌管理平臺的規劃、部署及使用
-能基於原始程式碼管理工具搭建自動化部署方案
-擁有基礎的資訊安全知識


一通數位很感謝你看到這裡，給各位求職者的小紙條：
1.20歲～30歲是探索期，不知道自己要幹嘛是正常的，別怕嘗試，請找出喜歡與不喜歡。
2.你不是本科系畢業也沒關係，路是「嘗試」出來的，不是「規劃」出來的。
3.相信直覺。
4.隨時問自己當下最在意什麼？每個時期要的不一樣。
5.Be authentic ! 面試是一個雙向媒合的過程，未來合作才是我們所看重期許的。
6.Find your passion . - 這樣才能走的長久。
7.我們希望你在一通這裡累積的專業，能讓你在外面更有競爭力。

","台北市內湖區","月薪65,000~80,000元","=HYPERLINK(""http:////www.104.com.tw/job/7at0b?jobsource=hotjob_chr"")"
"(年度擴編)Backend Development / 後端工程師","英屬維京群島商瑞嘉耐思科技有限公司台灣分公司","電腦軟體服務業","‧ Develop and operate backend systems related to data collection and data processing. 
‧ Responsible for workflow automation , process optimization and performance tuning. 
‧ Coordinate with technical lead on current programming tasks. 
‧ Continuously learn and improve skills. 
‧ Perform other duties as necessary. ","台北市內湖區","月薪62,162~154,346元","=HYPERLINK(""http:////www.104.com.tw/job/6yqdu?jobsource=hotjob_chr"")"
"Neogence 霓淨思_數據工程師","Neogence霓淨思_德典生技股份有限公司","藥品／化妝品及清潔用品零售業","力  

【面試流程】
你/妳 將與德典集團執行長&霓淨思創辦人-謝博士
財務部主管 Shawn 和 HR 團隊面談，聊聊彼此的想法！
 
【職務說明】
• 25%  跨部門資料梳理及資料倉儲整合 (ETL) 應用及維護
• 25%  Python","台北市大安區","月薪40,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/8fpox?jobsource=n_my104_search"")"
"資料工程師 (DW)","聯合通商電子商務股份有限公司","電腦軟體服務業","(本職務主要為技術專長的工作)
1.  資料倉儲系統之程式設計及開發
2.  負責專案之程式開發與測試及Code review；包含撰寫SQL/SP及使用ETL工具對資料進行處理、建置資料倉儲，並進行UT測試，撰寫驗證報告
3.   配合專案需求","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/74xkx?jobsource=n_my104_search"")"
"資料分析工程師 Analytics Engineer (Data) [RD]","酷遊天股份有限公司","旅遊服務業","財務等。
 

【我們期待你具備】
1. 具備 2 年以上在資料領域擔任資料分析師、資料工程師或同等職位。
2. 能直接面對需求單位，具備細心、耐心、清晰的邏輯思維與簡報能力。
3. 熟悉 Python/SQL 開發資料操作與分析程式能力，並具有","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8aott?jobsource=n_my104_search"")"
"[LAC] Data Engineer_資料工程師","LAC(保健食品領導品牌)_新加坡商利維喜開發股份有限公司台灣分公司","食品什貨零售業","1. 與各需求單位進行訪談，釐清問題，並且及時有效、準確的產生各種需求報告
2. 根據會員和銷售資料庫，提供數據驅動的報告
3. 其他主管交辦事宜
","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8315o?jobsource=n_my104_search"")"
"資料工程師(Data Integration Engineer)","鑫享科技有限公司","電腦軟體服務業","我們正在尋找一位對數據領域有熱情的資料整合工程師，加入我們的團隊。
此職位將負責設計、開發和維護數據整合解決方案，確保公司數據的有效整合和應用。

主要職責：
1. 設計和實施數據整合架構和流程，以確保數據從不同來源的有效收集、轉換和加載（ETL","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8cq87?jobsource=n_my104_search"")"
"Python資料工程師 Python Data Engineer","萊斯科技有限公司","電腦軟體服務業","‧具備 Python 相關經驗，負責資料分析及程式撰寫。
‧進行軟體之測試、修改與除錯。
‧可獨立或與團隊合作，共同執行專案建置、測試及維護。
‧處理日常系統產品檢測故障排除，回覆客戶應用技術的問題、回饋給相關部門 ，並提供產品技術諮詢。 ","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8248f?jobsource=n_my104_search"")"
"資料工程師-情報系統二team【全家便利商店關係企業】","精藤股份有限公司","電腦系統整合服務業","

職務內容如下：
1.	管理／維運數據中台，負責數據的蒐集、交換、儲存、清理，執行ETL作業，把關資料正確性與品質。
2.	製作BI儀錶板，供使用者檢視經營指標。
3.	協助建置數據治理環境與制度。
4.	配合資料分析相關作業，並對需求者簡報。
5.","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/84xyg?jobsource=n_my104_search"")"
"資料工程師_資訊處(內湖)","台達電子工業股份有限公司 _DELTA ELECTRONICS INC.","其他電子零組件相關業","和技巧，能夠設計和實現適合的數據架構，以支持業務需求和分析。
3.數據工程:熟悉ELT與ETL的流程開發與管理以及監控(Nifi, Airflow, SSIS…etc)。
4.開發語言: Python or Java / C#。

《","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/82tip?jobsource=n_my104_search"")"
"資料工程師 Data Engineer","果實夥伴股份有限公司","網際網路相關業","【工作內容 】
-  ETL 之開發、處理(資料清理、儲存、分析)與監測
- 開發與設計專案所需 API 服務並與後端工程師合作，完成系統產品化程序
- 依據不同業務需求，完成建置/維運/更新各式 Data infra 的需求
- 與數據產品管理","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7dpwf?jobsource=n_my104_search"")"
"【數據】(資深)資料工程師 / (Senior) Data Engineer","LINE GO_觔斗雲聯網科技股份有限公司","網際網路相關業","
- 與資料分析師、資料科學家合作共同打造數據產品，進行模型自動化與架構設計，確保模型部署與應用
- 協助撰寫數據架構與相關文件
- 其他主管交辦事項

【如果你符合這個職位，我相信】
1.你是位對數據不視為理所當然、勇於自主學習與分享並喜愛接受挑","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a7ai?jobsource=n_my104_search"")"
"資產管理部-租賃組-資料工程人員（資深規劃師）","國家住宅及都市更新中心","不動產經營業","統開發等）尤佳。

【其他條件】
1.熟悉建構和優化數據架構，具系統架構規劃、資料庫管理維護、資料庫程式設計、資料庫軟體應用等工作技能。
2.思慮邏輯清晰、善於溝通協調與團隊合作。","台北市中山區","月薪67,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8fip9?jobsource=n_my104_search"")"
"數據工程師","滾石移動股份有限公司","網際網路相關業","(1)負責資料管理 ETL 流程規劃, 與視覺化工具(BI)所需之數據源預先處理
(2)處理及挑戰 Data 相關工程問題，包含建立 data pipeline、探勘收集處理
(3)管理資料庫(資料表日常維運及更新)/資料撈取/資料倉儲
(4)與","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/86djh?jobsource=n_my104_search"")"
"【管理服務中心】資料工程師","中華海洋生技股份有限公司","生化科技研發業","1.	設計、開發、維護和管理大量資料的數據倉儲及視覺化報表，以支援業務需求。
2.	資料倉儲程式開發與建置，包括企業邏輯資料處理、數據清洗等
3.	其他主管交辦事項
4.	整合不同來源的資料
5.	協助提高資料質量，並確保資料安全
6.	參與公司","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7n6u2?jobsource=n_my104_search"")"
