"職缺內容","公司名稱","工作內容","地址","薪資","網址"
"【數位驅動】資料科學工程師_數據應用 (數數發中心, DDT)_I00014665","國泰世華商業銀行股份有限公司_人力資源部","【主要職責 Who we are looking for】 
負責企業資料倉儲及數據應用平台之建置/開發/管理。 

【主要職責 Who we are looking for】 
負責企業資料倉儲及數據應用平台之建置/開發/管理。 

【職務說明","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a39r?jobsource=n_my104_search"")"
"策略發展_數據智能人員","O-Bank_王道商業銀行股份有限公司","1.執行本行數據治理應用發展策略行動計畫，以數據科技為核心驅動各業務場景轉型升級。
2.協助並促進跨單位數據應用合作，有效運用合作成效發揮數據影響力。
3.協助規劃、整合及打造高效大數據智能平台，持續強化穩定發展之數據工程基石。
4.數據科技平台","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8c88n?jobsource=n_my104_search"")"
"資料庫工程師","聯邦網通科技股份有限公司","1.資料倉儲、資料分析萃取應用、ETL資料轉換、批次系統維運
2.資料庫管理、監控、維護

*具備基礎計算機結構概念，有資料庫、程式設計能力者佳","台北市內湖區","月薪33,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8dp7f?jobsource=n_my104_search"")"
"數據工程師 【資料分析應用處】","邁達特數位股份有限公司","1.	因應客戶需求進行資料倉儲/資料超市設計與規劃。
2.	數據收集、盤點與管理。
3.	資料庫效能調教。
4.	數據ETL開發、測試與維護。
5.	利用ETL工具或T-SQL或Stored Procedure開發。

","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/82jky?jobsource=n_my104_search"")"
"資料工程師","關貿網路股份有限公司","1.Hadoop-based應用系統開發維護及專案支援。
2.巨量資料處理及ETL架構規劃及開發。
3.熟悉java，會R或Python撰寫分析演算法程式尤佳。","台北市南港區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/4ftgq?jobsource=n_my104_search"")"
"【顧問部】資料應用架構設計師、資料整合開發工程師 (SD/PG)-318B","KPMG_安侯建業聯合會計師事務所","1. 參與金融業風險管理相關系統開發
2. 協助進行資料倉儲、資料市集、資料應用模型規劃與建置
3. 協助執行各項金融主題大數據分析與儀表板建置
","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/1x7w9?jobsource=n_my104_search"")"
"資深資料工程師","緯來電視網股份有限公司","1. 依據業務需求建立、管理以及維運資料庫 (關聯資料庫或非關聯資料庫)。
2. 建立、維運以及持續優化所需的data pipeline。
3. 確保所有數據生命週期階段數據完整性和品質。","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8b6h3?jobsource=n_my104_search"")"
"資深後端軟體工程師","滾石移動股份有限公司","(1)依業務/PM需求開發應用軟體, 維護Qport及CMS系統，並持續優化並增加功能及串接平台服務
(2)管理資料庫/資料倉儲,與數據工程師合作, 搭建巨量數據資料分析與應用服務
(3)熟悉並掌握 AWS 服務/架構, 應用於 Backend","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8acu0?jobsource=n_my104_search"")"
"數據倉儲工程師（DW Engineer）","拍付國際資訊股份有限公司","【工作職責】
- 設計、開發及維護ETL流程，以確保數據的準確性和一致性。
- 撰寫及優化存儲程序，以提高數據處理效率。
- 分析和理解業務需求，並將其轉化為數據解決方案。
- 負責數據的生成和報表的製作。
- 確保數據倉儲系統的性能和穩定性，並","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ekcp?jobsource=n_my104_search"")"
"【金融科技】資料工程師 Data Engineer(經驗行員)","玉山銀行_玉山商業銀行股份有限公司","1.建置與優化巨量結構化資料、半結構、非結構化資料的資料管線
2.建置不同類型的 data infra/pipeline，並設計部署策略、監控機制，以確保服務穩定性
3.評估與導入 modern data stack，用以解決以下問題：data","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7tqhz?jobsource=n_my104_search"")"
"調查研究專題中心-資料工程師","中央研究院_人文社會科學研究中心","參與跨媒體影像辨識、自然語言處理、機器學習等相關技術，並結合問卷調查資料分析，研究重要社會議題。

1. 爬蟲程式開發與維護。
2. 資料處理（以Pandas為主，並熟悉各類檔案、資料庫資料存取）。
3. 資料分析（可重現相關研究分析，並改動、客","台北市南港區","月薪37,240元以上","=HYPERLINK(""http:////www.104.com.tw/job/8cywt?jobsource=n_my104_search"")"
"後端軟體工程師","滾石移動股份有限公司","(1)依業務/PM需求開發應用軟體, 維護Qport及CMS系統，並持續優化並增加功能及串接平台服務
(2)管理資料庫/資料倉儲,與數據工程師合作, 搭建大數據資料分析與應用服務
(3)熟悉並掌握 AWS 服務/架構, 應用於 Backend 服","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a4tl?jobsource=n_my104_search"")"
"資料工程師(台北地區)","福能股份有限公司","1. 分析和組織原始數據
2. 構建數據系統和管道
3. 評估業務需求和目標
4. 進行複雜的數據分析並報告結果
5. 為規範性和預測性建模準備數據
6. 結合不同來源的原始信息
7. 探索提高數據質量和可靠性的方法
8. 在多個項目中與數據科學家和架構師合作 
","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7r15r?jobsource=n_my104_search"")"
"【顧問部】顧問師/高級顧問師/副理(資料工程顧問)-317317","KPMG_安侯建業聯合會計師事務所","1.協助客戶進行需求分析、外部數據整合應用、資料清理設計與商業分析(BI)規劃
2.協助客戶進行資料市集(Data Mart)規劃、資料清理(ETL)程式開發與商業智慧(BI)建置","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/6zvmn?jobsource=n_my104_search"")"
"Data Engineer/資料工程師（歡迎新鮮人和應屆畢業生投遞~）","宏虹電子科技有限公司","你正在尋找一個充滿創新和彈性並提供高額薪酬的工作環境嗎？ 宏虹以靈活而包容的文化聞名，作為一家追求技術卓越的技術顧問公司 我們鼓勵團隊成員通過最新技術來協助客戶面對全球性挑戰
作為資料工程師，你將帶著資料庫管理與開發的專業知識，根據客戶需求開發和","台北市中山區","月薪65,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/7wgle?jobsource=n_my104_search"")"
"SQL資料庫工程師(SL001)","祐安資訊有限公司",")、 Microsoft Azure (Azure)任一即可
+++ 熟悉敏捷式開發(Agile)，有採用 Scrum 實戰專案經驗
+++ 具備 ETL開發工具(Informatica PowerCenter 或 IBM Datastage)","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/6709q?jobsource=n_my104_search"")"
"資訊處-數據工程師","永豐商業銀行股份有限公司","1. 資料倉儲及ETL維運營及監控，包含各式問題排解及簡化監控方式
2. 數據平台資料導入的自動化流程設計及開發
3. 建立ETL Server與上下游各系統的串接管道
4. ETL相關SQL撰寫
5. 大數據應用開發測試驗證
6. 系統日常維運","台北市松山區","月薪38,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/87gr6?jobsource=n_my104_search"")"
"(ETL) Informatica Developer 開發工程師","華威數位財金科技股份有限公司","- 專案駐點開發 ETL  軟體工程師  
- 金融產業 因應資安問題 軟體開發需在客戶端進行 (駐點)
- 工作地點 台北 1O1
------(相關技能)------
•Bachelor’s degree in computer","台北市信義區","月薪40,000~90,000元","=HYPERLINK(""http:////www.104.com.tw/job/7p3tl?jobsource=n_my104_search"")"
"數據工程師","滾石移動股份有限公司","(1)負責資料管理 ETL 流程規劃, 與視覺化工具(BI)所需之數據源預先處理
(2)處理及挑戰 Data 相關工程問題，包含建立 data pipeline、探勘收集處理
(3)管理資料庫(資料表日常維運及更新)/資料撈取/資料倉儲
(4)與","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/86djh?jobsource=n_my104_search"")"
"資深 ETL 程式設計師","志弘資訊股份有限公司","使用ETL 工具，如: SSIS 、 Informatica PowerCenter，開發資料處理程式。","台北市大同區","月薪40,000~50,000元","=HYPERLINK(""http:////www.104.com.tw/job/7i5kv?jobsource=n_my104_search"")"
"操作界面軟體工程師","開創水資源科技股份有限公司","儀器操作界面設計
監測儀表板
參數設定
警報訊息
資料分析
Windows系統應用軟體
IOS 及 安卓系統 App軟體
","台北市內湖區","月薪55,000~65,000元","=HYPERLINK(""http:////www.104.com.tw/job/6spzg?jobsource=hotjob_chr"")"
"Data Architect 數據架構師","鑫享科技有限公司"," candidate will have extensive experience in ETL processes, data modeling, and data governance. You will work closely with","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ey1p?jobsource=n_my104_search"")"
"後端軟體工程師","滾石移動股份有限公司","(1)依業務/PM需求開發應用軟體, 維護Qport及CMS系統，並持續優化並增加功能及串接平台服務
(2)管理資料庫/資料倉儲,與數據工程師合作, 搭建大數據資料分析與應用服務
(3)熟悉並掌握 AWS 服務/架構, 應用於 Backend 服","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a4tl?jobsource=n_my104_search"")"
"資料工程師(台北地區)","福能股份有限公司","1. 分析和組織原始數據
2. 構建數據系統和管道
3. 評估業務需求和目標
4. 進行複雜的數據分析並報告結果
5. 為規範性和預測性建模準備數據
6. 結合不同來源的原始信息
7. 探索提高數據質量和可靠性的方法
8. 在多個項目中與數據科學家和架構師合作 
","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7r15r?jobsource=n_my104_search"")"
"[台北總公司] 系統工程師","藥華醫藥股份有限公司","資料視覺化及建立模型專業能力
3.	資料倉儲維護與優化、內外部資料整合及收集、資料庫預存程序(Tableau Prep)管理
4.	Python 程式開發
5.	其他主管交辦事項
","台北市南港區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/88bw8?jobsource=n_my104_search"")"
"資料庫工程師 MySQL","財團法人臺灣海洋保育與漁業永續基金會","專案管理、後端工程師合作，獨立開發規劃、設計及建置開發資料庫。
2. 資料建模、設計評審及 SQL 腳本審核。 
3. 規劃及執行資料備援及回復計畫。
4. 設計及建置資料庫 HA 及災難復原計畫。 
5. 管理及監控資料庫效能，針對相關參數、","台北市中正區","月薪43,000~58,000元","=HYPERLINK(""http:////www.104.com.tw/job/7wcee?jobsource=n_my104_search"")"
"RD20100 Data Engineer 數據工程師","華碩電腦股份有限公司","1. 負責數據建模,資料倉儲,BI系統開發維運發                            
2. 設計與開發ETL程式                            
3. 負責Big Data分析處理","台北市北投區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ba34?jobsource=n_my104_search"")"
"【顧問部】顧問師/高級顧問師/副理(資料工程顧問)-317317","KPMG_安侯建業聯合會計師事務所","1.協助客戶進行需求分析、外部數據整合應用、資料清理設計與商業分析(BI)規劃
2.協助客戶進行資料市集(Data Mart)規劃、資料清理(ETL)程式開發與商業智慧(BI)建置","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/6zvmn?jobsource=n_my104_search"")"
"Data Engineer/資料工程師（歡迎新鮮人和應屆畢業生投遞~）","宏虹電子科技有限公司","你正在尋找一個充滿創新和彈性並提供高額薪酬的工作環境嗎？ 宏虹以靈活而包容的文化聞名，作為一家追求技術卓越的技術顧問公司 我們鼓勵團隊成員通過最新技術來協助客戶面對全球性挑戰
作為資料工程師，你將帶著資料庫管理與開發的專業知識，根據客戶需求開發和","台北市中山區","月薪65,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/7wgle?jobsource=n_my104_search"")"
"【數位驅動】資料科學工程師_Data (數數發中心，DDT)_I00011494","國泰世華商業銀行股份有限公司_人力資源部","1. Hive資料市集設計、開發、管理維護
2. ETL 問題追蹤與管理
3. 資料處理與整合
4. 用資料導向概念提升各類業務，並導入系統以加強各項資料應用
5. 協助資料研究及分析過程中需要的資料處理
6. 導檔排程優化/維運
7. 協助導檔","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87176?jobsource=n_my104_search"")"
"數據管理大師【DBA資料庫工程師】SQL Server","寶碩財務科技股份有限公司","▼FinTech使金融服務變得更有效率，金融生態變革正在進行▼
寶碩是一間致力於金融資訊服務的科技公司，主要提供即時、完整的金融系統，在融合財工知識及創新研發能量下，發展出多項智財專利權的產品。因應全球綠能發展趨勢，寶碩集團以財務工程專業領域為基","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a5sf?jobsource=n_my104_search"")"
"資訊處-數據工程師","永豐商業銀行股份有限公司","1. 資料倉儲及ETL維運營及監控，包含各式問題排解及簡化監控方式
2. 數據平台資料導入的自動化流程設計及開發
3. 建立ETL Server與上下游各系統的串接管道
4. ETL相關SQL撰寫
5. 大數據應用開發測試驗證
6. 系統日常維運","台北市松山區","月薪38,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/87gr6?jobsource=n_my104_search"")"
"Application Engineer(ETL, Scheduling, BI, WMS)","台灣資生堂股份有限公司"," experience as a data analyst or engineer in the data/ETL
-	Hands-on experience in writing complex SQL queries and stored","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8eup1?jobsource=n_my104_search"")"
"Data Engineer","睿控網安股份有限公司","我們正在尋找一位資料工程師，該職位將負責設計和構建資料管道和資料基礎設施，支持公司各種資料分析和財務預測項目的順利進行。您將與資料分析師合作，確保資料的準確性、一致性和高效處理。

職責：
1.	資料集成與ETL流程
	- 設計和實施ETL（提取","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8b9pi?jobsource=n_my104_search"")"
"工程資料處理專員(總公司)","安倉營造股份有限公司","1.行政資料處理與歸檔作業。
2.根據需求，協助編寫Excel巨集、VBA。
3.主管交辦事項。","台北市中山區","月薪50,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/8dxar?jobsource=n_my104_search"")"
"軟體開發技術經理（RD Leader）","創代科技股份有限公司","⚠️彼此的時間都很寶貴，機會也只有一次，我們想徵的是有野心、有能力、也自律負責的您，加入我們、一同共事。

▋工作內容：
1.	理解全端系統架構，包含：前端、中端資料串接、後端資料庫模組
2.	與資料科學團隊協作，輔助資料工程ETL、Flask","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8dtnd?jobsource=n_my104_search"")"
"資料庫工程師","依斯楚互動娛樂股份有限公司","●主要工作內容
1. 管理和維護公司內的MSSQL資料庫，確保其穩定運行
2. 在新項目開始時，參與資料庫的設計、建構和優化
3. 監控資料庫性能，識別並解決潛在的問題，以確保高效率和可靠性
4. 協助團隊成員解決與資料庫相關的技術挑戰

●技能","台北市內湖區","月薪50,000~80,000元","=HYPERLINK(""http:////www.104.com.tw/job/8c60s?jobsource=n_my104_search"")"
"【資訊板塊】資料科學工程師 (數數發中心,DDT)","國泰世華商業銀行股份有限公司_人力資源部","【職務說明 What will you do】
1.數據介接、清洗、處理與數據模型的程式開發
2.網路爬蟲、數據工程 API 程式撰寫
3.與數據分析師合作，進行機器學習、深度學習與統計分析模型的維運化程式開發
4.ETL Pipline 的工具","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7veyg?jobsource=n_my104_search"")"
"數據工程師(專案開發)","台北富邦商業銀行股份有限公司","1. 維持數據倉儲ETL Server運營及監控, 包含各式問題排解及簡化監控方式
2. 大數據平台資料導入的自動化流程設計及開發
3. 建立ETL Server與上下游各系統的串接管道","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7p5mj?jobsource=n_my104_search"")"
"Q005Q71_資料分析工程師","神通資訊科技股份有限公司","串接等工作。
4.	研發方向: 特徵工程/機器學習、深度/強化學習等AI分析技術於機械加工產業或土木災防之應用。

※工作待遇：將依學經歷進行敘薪。","台北市內湖區","月薪40,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8bjdj?jobsource=n_my104_search"")"
