"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"資料工程師 Data Engineer","果實夥伴股份有限公司","網際網路相關業","【工作內容 】
-  ETL 之開發、處理(資料清理、儲存、分析)與監測
- 開發與設計專案所需 API 服務並與後端工程師合作，完成系統產品化程序
- 依據不同業務需求，完成建置/維運/更新各式 Data infra 的需求
- 與數據產品管理","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7dpwf?jobsource=n_my104_search"")"
"數據工程師 【資料分析應用處】","邁達特數位股份有限公司","電腦軟體服務業","1.	因應客戶需求進行資料倉儲/資料超市設計與規劃。
2.	數據收集、盤點與管理。
3.	資料庫效能調教。
4.	數據ETL開發、測試與維護。
5.	利用ETL工具或T-SQL或Stored Procedure開發。

","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/82jky?jobsource=n_my104_search"")"
"資料工程師 (DW)","聯合通商電子商務股份有限公司","電腦軟體服務業","(本職務主要為技術專長的工作)
1.  資料倉儲系統之程式設計及開發
2.  負責專案之程式開發與測試及Code review；包含撰寫SQL/SP及使用ETL工具對資料進行處理、建置資料倉儲，並進行UT測試，撰寫驗證報告
3.   配合專案需求","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/74xkx?jobsource=n_my104_search"")"
"DataStage ETL 數據工程師","皇霖實業股份有限公司","紡織成衣業","1. 因應業務需求支援各類型來源資料串接、資料處理，完善資料倉儲
3. 資料 ETL 流程自動化規劃、設計、開發與監控維護
4. 資料品質之監控與管理，及對應機制的建立
5. 熟悉使用 Infosphere Datastage & Control","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/89hvj?jobsource=n_my104_search"")"
"數據工程師","中國化學製藥股份有限公司","藥品製造業","1.數據處理 - 建立資料倉儲、資料湖，ETL 工具與流程 
2.數據串接 - 協助串接內外部資料，應用資料 
3.系統優化 - 程式碼與文件維護、效能優化
~熟悉視覺化軟體如 Tableau, Power BI 者加分~

","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a8zz?jobsource=n_my104_search"")"
"資料工程師","普匯金融科技股份有限公司","電腦軟體服務業","式語言，能撰寫stored procedure程序，SQL校能調校。
2. 熟ETL工具運用，懂Talend工具佳。
3. 懂E-R model，熟SQL語法，了解程式端ORM建模。
4. 知悉MongoDB，懂json及XML結構，能做資料清洗及","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/682xq?jobsource=n_my104_search"")"
"ETL 工程師 (PS2A0)","資拓宏宇國際股份有限公司","電腦軟體服務業","績效獎金系統開發

1.熟悉MS SQL的操作
2.熟悉TSQL語法
3.熟悉ETL工具(會Trinity、Greenplum尤佳)
4.熟悉Git使用方式
5.邏輯推理能力良好
6.具有資料分析經驗、細心、負責","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8erqb?jobsource=n_my104_search"")"
"資料工程師(數據應用部)","永豐金證券股份有限公司","證券及期貨業","析/資料工程相關二年以上工作經驗尤佳

【恰好有以下特質是加分的】
1. 具較強的溝通協調能力和團隊精神，熱愛程式與數據，喜歡研究新技術
2. 樂意跟同事們一起討論打造創新
3. 對大數據平台建置及程式開發有經驗或興趣者
","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ctxn?jobsource=n_my104_search"")"
"資料工程師-情報系統二team【全家便利商店關係企業】","精藤股份有限公司","電腦系統整合服務業","

職務內容如下：
1.	管理／維運數據中台，負責數據的蒐集、交換、儲存、清理，執行ETL作業，把關資料正確性與品質。
2.	製作BI儀錶板，供使用者檢視經營指標。
3.	協助建置數據治理環境與制度。
4.	配合資料分析相關作業，並對需求者簡報。
5.","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/84xyg?jobsource=n_my104_search"")"
"【數位驅動】資料科學工程師_ 數據管理_I00003122","國泰世華商業銀行股份有限公司_人力資源部","銀行業","【主要職責 Who we are looking for】 
負責企業資料倉儲之數據管理，包含 : 資料市集設計、海內外倉儲ETL批次之開發/維運/監控、倉儲相關數據整合加值運用與分析，提供高品質與有價值的資料分析應用。 
【職務說明 What","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/89ofn?jobsource=n_my104_search"")"
"資料工程師","圖靈數位股份有限公司","其它軟體及網路相關業","行銷判讀，運營，轉化方面的戰略支持與技術方法。成員大多是技術工程師組成，協助客戶收集有用的數據，了解數據，利用數據。

目前是 Google Marketing Platform、Mixpanel、AB Tasty 認證合作夥伴。

公司福利：
・","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7v0e3?jobsource=n_my104_search"")"
"[ Python ] Senior Data Engineer 資料工程師  #Data & AI  #ACT台灣敏捷大賞獎2024","炬識科技股份有限公司","其它軟體及網路相關業"," Streaming Platform 等。
- 有 ETL 或資料分析案之專案經驗。
- 樂於與團隊互動、與客戶合作，並回應變化，願意了解客戶產業的領域知識以開發可用的軟體。
- 認同溝通的雙向性，職務內所需之訊息主動聽取、提出必要問題以正確理解，不依靠","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7kabt?jobsource=n_my104_search"")"
"【數據】(資深)資料工程師 / (Senior) Data Engineer","LINE GO_觔斗雲聯網科技股份有限公司","網際網路相關業","
- 與資料分析師、資料科學家合作共同打造數據產品，進行模型自動化與架構設計，確保模型部署與應用
- 協助撰寫數據架構與相關文件
- 其他主管交辦事項

【如果你符合這個職位，我相信】
1.你是位對數據不視為理所當然、勇於自主學習與分享並喜愛接受挑","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a7ai?jobsource=n_my104_search"")"
"資料工程師","翰霖科技資訊股份有限公司","電腦軟體服務業","【必要技能】

☑️ 負責TeraData資料庫遷移
☑️ 具備系統設計經驗3年以上經驗
☑️ 具備系統流程整合能力 MS Synapse、SQL server procedure 
☑️ 具備1年系統流程整合能力Azure資料管線開發經驗
☑️","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8csqc?jobsource=n_my104_search"")"
"Python資料工程師 Python Data Engineer","萊斯科技有限公司","電腦軟體服務業","‧具備 Python 相關經驗，負責資料分析及程式撰寫。
‧進行軟體之測試、修改與除錯。
‧可獨立或與團隊合作，共同執行專案建置、測試及維護。
‧處理日常系統產品檢測故障排除，回覆客戶應用技術的問題、回饋給相關部門 ，並提供產品技術諮詢。 ","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8248f?jobsource=n_my104_search"")"
"資料工程師","云智資訊股份有限公司","其它軟體及網路相關業","1. 3年以上 ETL 相關經驗。
2. 熟悉SQL語法、ETL(會Trinity、Greenplum尤佳)。
3. 具有資料分析經驗、細心、負責。
4. 溝通能力良好，可與 SA/PM 或其他 PG 協力合作。","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ihuk?jobsource=n_my104_search"")"
"資料工程師 / 數據服務架構師","玉山綜合證券股份有限公司","證券及期貨業","1. 資料倉儲管理與數據中心建置與管理
2. 負責資料蒐集及處理各項數據、資料建模、ETL 流程設計及演算法開發
3. 運用常見的 ML 或是 AI 演算法建立行銷、風險管理和流程自動化等應用服務
4. 進行數據應用與串接之需求訪談
5. 營運事","台北市松山區","月薪35,000~40,000元","=HYPERLINK(""http:////www.104.com.tw/job/889qn?jobsource=n_my104_search"")"
"資料工程師(Data Integration Engineer)","鑫享科技有限公司","電腦軟體服務業","我們正在尋找一位對數據領域有熱情的資料整合工程師，加入我們的團隊。
此職位將負責設計、開發和維護數據整合解決方案，確保公司數據的有效整合和應用。

主要職責：
1. 設計和實施數據整合架構和流程，以確保數據從不同來源的有效收集、轉換和加載（ETL","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8cq87?jobsource=n_my104_search"")"
"H.系統設計師","永豐餘消費品實業股份有限公司","紙相關製造業","1.客製化網頁(C#/ASP.NET)程式開發與維護。
2.系統相關文件製作。
3.負責系統之分析、設計、程式撰寫與單元測試，含系統架構與資料管理
4.掌握程式碼品質及可維護性","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/6vvi2?jobsource=hotjob_chr"")"
"Backend/ Sr. Backend Developer","艾克森科技有限公司","電腦系統整合服務業","【你要做甚麼？】
1. 開發遊戲伺服器新功能。
2. 與組員合作討論，分析需求定義並實作。
3. 跟 Designer, PM, QA, Devops, Backend, Frontend, APP 合作完成「需求-設計-開發-測試-上線」的流程。
4. 協助不同專案的系統開發、後端程式撰寫及維護，同時適時進行跨專案的支援。
5. 網站的後端及相關 API 開發與串接並確保程式品質。

【期待你的技術職能】
1. 熟悉資料庫相關操作(Transaction)與建置(Schema)。
2. 了解程式相關資安維護。
3. 有專案設計、規畫、開發相關工作經驗者佳。
4. 資訊工程或相關科、系(所)畢業佳，具備實際開發經驗則不限。
5. 程式語言需求(二擇一) : (1)Golang (2)NodeJS
6. 資料庫需求(二擇一) : (1) Oracle (2) MySQL

【如果有以下的經驗或特質，那就太加分】
1. Docker
2. K8S
3. 邏輯調理能力佳
4. 能具備實務經驗至少2年，積極主動學習的心態、開放各種挑戰！","台北市信義區","年薪700,000~2,000,000元","=HYPERLINK(""http:////www.104.com.tw/job/7opm0?jobsource=hotjob_chr"")"
"《台北中山》資料工程師","敦謙國際智能科技股份有限公司","旅遊服務業","• 營運策略系統 (RMS)
• 定價採集，多平台房源定價的抓取和分析工作，建立資料數據。
• 定價分析，善用資料探勘技術，分類分群並歸納出定價策略。
• 定價建議，根據數據透過機器學習，協助旅宿決定房間最佳定價。
• 建模預測，根據歷史銷售資料","台北市中山區","月薪42,000~90,000元","=HYPERLINK(""http:////www.104.com.tw/job/7b120?jobsource=n_my104_search"")"
"數據ETL/資料分析師","昇恒昌股份有限公司","其他零售業","工作內容:
1 設計和建立資料分析報告和資料儀表板，
2.提供資訊視覺化及說明分析。
3.運用統計概念與資料驅動思維，收集和清理各類型資料，並設計資料分析方法，建立相關資料應用。
4.跨系統資料梳理及資料倉儲整合(ETL)應用(SSIS、","台北市內湖區","月薪40,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/878sb?jobsource=n_my104_search"")"
"【資訊部】資料工程師(Data Engineer)","台灣知識庫股份有限公司","數位內容產業","1.負責數據管理，ETL流程規劃，以及資料分析所需之數據源預處理。
2.處理及挑戰Data相關工程問題，包括建立data pipeline、探勘收集處理。
3.管理數據庫（資料表日常維護及更新）、資料提取、資料倉儲。
4.建立自動化工具和腳本，簡","台北市中正區","月薪40,000~45,000元","=HYPERLINK(""http:////www.104.com.tw/job/7ck9p?jobsource=n_my104_search"")"
"數據工程師Data Engineer","統一資訊股份有限公司","電腦系統整合服務業","效能精進有興趣之人才，與我們攜手打造貼近客戶運用之數據服務。

【工作內容】
1. 熟悉資料倉儲與數據湖概念，進行數據清洗、資料整備等相關數據轉換與整合。
2. 熟悉數據工程的ETL流程，處理數據開發、自動化、測試、監控、佈署等相關技術解決方案。","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/4bma8?jobsource=n_my104_search"")"
"資料倉儲專案主管(內湖總公司)","昇恒昌股份有限公司","其他零售業","1.主導數據倉儲改建專案及專案管理
2.Data Warehouse之導入、建置、管理
3.具有ETL、Data model設計能力
4.具有Teradata經驗者佳
5.跨部門溝通數據相關事務","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8excp?jobsource=n_my104_search"")"
"[LAC] Data Engineer_資料工程師","LAC(保健食品領導品牌)_新加坡商利維喜開發股份有限公司台灣分公司","食品什貨零售業","1. 與各需求單位進行訪談，釐清問題，並且及時有效、準確的產生各種需求報告
2. 根據會員和銷售資料庫，提供數據驅動的報告
3. 其他主管交辦事宜
","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8315o?jobsource=n_my104_search"")"
"數據工程師","滾石移動股份有限公司","網際網路相關業","(1)負責資料管理 ETL 流程規劃, 與視覺化工具(BI)所需之數據源預先處理
(2)處理及挑戰 Data 相關工程問題，包含建立 data pipeline、探勘收集處理
(3)管理資料庫(資料表日常維運及更新)/資料撈取/資料倉儲
(4)與","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/86djh?jobsource=n_my104_search"")"
"資深數據分析師 【ETL數據分析師 】","邁達特數位股份有限公司","電腦軟體服務業","1.數據收集、盤點與管理。
2.數據ETL開發、測試與維護。
3.利用ETL工具或T-SQL或Stored Procedure開發。
4.因應客戶需求進行資料倉儲/資料超市設計與規劃。



","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7oyn3?jobsource=n_my104_search"")"
"調查研究專題中心-資料工程師","中央研究院_人文社會科學研究中心","其他教育服務業","參與跨媒體影像辨識、自然語言處理、機器學習等相關技術，並結合問卷調查資料分析，研究重要社會議題。

1. 爬蟲程式開發與維護。
2. 資料處理（以Pandas為主，並熟悉各類檔案、資料庫資料存取）。
3. 資料分析（可重現相關研究分析，並改動、客","台北市南港區","月薪37,240元以上","=HYPERLINK(""http:////www.104.com.tw/job/8cywt?jobsource=n_my104_search"")"
"策略發展_數據智能人員","O-Bank_王道商業銀行股份有限公司","銀行業","1.執行本行數據治理應用發展策略行動計畫，以數據科技為核心驅動各業務場景轉型升級。
2.協助並促進跨單位數據應用合作，有效運用合作成效發揮數據影響力。
3.協助規劃、整合及打造高效大數據智能平台，持續強化穩定發展之數據工程基石。
4.數據科技平台","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8c88n?jobsource=n_my104_search"")"
"資料助理工程師","廣晉軟體股份有限公司","電腦系統整合服務業","
需要條件：
1.具SQL基本能力
2.資管相關科系【應屆畢可、具高度學習意願】

主要工作內容：
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、","台北市內湖區","月薪32,000~38,000元","=HYPERLINK(""http:////www.104.com.tw/job/8761m?jobsource=n_my104_search"")"
"集團聯合稽核總部/資料工程師(台北遠企)","遠東新世紀股份有限公司","紡織成衣業","【工作內容】
1.開發/維護爬蟲程式，取得網站資料轉入資料庫。
2.開發/維護ETL程式，將來源資料映射到資料庫，並提供資料集給商業分析工具。
3.開發自然語言處理工具，簡稱NLP，須熟悉自然語言模型。
4.建置提詞(Prompt)工程，提高","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/70m44?jobsource=n_my104_search"")"
"數據倉儲工程師（DW Engineer）","拍付國際資訊股份有限公司","網際網路相關業","【工作職責】
- 設計、開發及維護ETL流程，以確保數據的準確性和一致性。
- 撰寫及優化存儲程序，以提高數據處理效率。
- 分析和理解業務需求，並將其轉化為數據解決方案。
- 負責數據的生成和報表的製作。
- 確保數據倉儲系統的性能和穩定性，並","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ekcp?jobsource=n_my104_search"")"
