職缺內容,公司名稱,工作內容,地址,薪資,網址
資料分析顧問,邑泰科技股份有限公司,,台北市內湖區,"月薪33,000~60,000元",//www.104.com.tw/job/3y0pq?jobsource=n_my104_search
程式設計師(後勤系統部),嘉里大榮物流股份有限公司,,台北市中正區,待遇面議,//www.104.com.tw/job/6tmuo?jobsource=n_my104_search
"48368_Database Administrator – MS SQL (Taipei, Taichung or Tainan)",台灣康寧顯示玻璃股份有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/7btzo?jobsource=n_my104_search
程式設計師(系統整合部),嘉里大榮物流股份有限公司,,台北市中正區,"月薪35,000~50,000元",//www.104.com.tw/job/70pvf?jobsource=n_my104_search
【DBA】SQL Server DBA / 資料庫管理工程師,英屬維京群島商瑞嘉耐思科技有限公司,,台北市內湖區,"月薪55,000~142,000元",//www.104.com.tw/job/7d9j3?jobsource=n_my104_search
程式設計師(智慧運輸部),嘉里大榮物流股份有限公司,,台北市中正區,"月薪30,000~60,000元",//www.104.com.tw/job/4ex15?jobsource=n_my104_search
程式設計師(專案開發部),嘉里大榮物流股份有限公司,,台北市中正區,"月薪35,000~55,000元",//www.104.com.tw/job/7bh3v?jobsource=n_my104_search
MS SQL（SQL Server)資料庫管理師,布魯科技有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/6enix?jobsource=n_my104_search
F511-ETL資料工程師,大同世界科技股份有限公司,,台北市中山區,"月薪32,000~45,000元",//www.104.com.tw/job/6hs6e?jobsource=n_my104_search
ETL工程師,台北神策諮詢顧問有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/6uzw2?jobsource=n_my104_search
DB資料庫工程師,皇霖實業股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/6wm60?jobsource=n_my104_search
SQL Developer | 資料庫工程師,Nexio Technology Limited_睿世軟體科技股份有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/6nn99?jobsource=n_my104_search
營運系統-B2B資訊工程師/高級工程師-台北,建新國際股份有限公司,,台北市中正區,"月薪30,000~70,000元",//www.104.com.tw/job/3tf8e?jobsource=n_my104_search
【總公司】C#、.NET 程式設計師,新竹物流股份有限公司,,台北市士林區,"月薪30,000~50,000元",//www.104.com.tw/job/76aqb?jobsource=n_my104_search
系統開發部_數位系統開發專案經理,台新人壽保險股份有限公司_總公司,,台北市松山區,待遇面議,//www.104.com.tw/job/7bsts?jobsource=n_my104_search
【資訊部－研發團隊】系統開發人員(ASP.Net、C#、jQuery、Html5、MS SQL),群益金鼎證券股份有限公司,,台北市松山區,"月薪35,000~60,000元",//www.104.com.tw/job/755s6?jobsource=n_my104_search
數據工程師,達暉資訊有限公司,,台北市信義區,"月薪40,000~70,000元",//www.104.com.tw/job/79ujf?jobsource=n_my104_search
【資訊部－研發團隊】資深網站開發人員(C#、MS SQL、JS),群益金鼎證券股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/6mpvu?jobsource=n_my104_search
【IT】軟體開發工程師(台北),智聯服務股份有限公司,,台北市內湖區,"月薪40,000~55,000元",//www.104.com.tw/job/752r1?jobsource=n_my104_search
Data Engineer,浪LIVE_旭瑞文化傳媒股份有限公司,,台北市信義區,待遇面議,//www.104.com.tw/job/6vufz?jobsource=n_my104_search
java資深開發工程師(台北市士林區),新竹物流股份有限公司,,台北市士林區,待遇面議,//www.104.com.tw/job/7503d?jobsource=n_my104_search
資料工程師,精藤股份有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/765fv?jobsource=n_my104_search
Data Engineer 資料工程師 - Data Team,Garena_新加坡商競舞電競有限公司臺灣分公司,,台北市信義區,待遇面議,//www.104.com.tw/job/7adps?jobsource=n_my104_search
系統分析師- R&D,精藤股份有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/6xsj2?jobsource=n_my104_search
【DBA】SQL Server Database Developer / 資料庫開發工程師,瑞嘉軟體科技股份有限公司,,台北市內湖區,"月薪55,000~142,000元",//www.104.com.tw/job/49ko5?jobsource=n_my104_search
系統開發部_Open AP系統開發主管,台新人壽保險股份有限公司_總公司,,台北市松山區,待遇面議,//www.104.com.tw/job/7c0qr?jobsource=n_my104_search
數據應用部-資料工程人員,永豐商業銀行股份有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/70dj8?jobsource=n_my104_search
[集團] SQL資料庫實習生,關鍵評論網股份有限公司,,台北市信義區,時薪160~230元,//www.104.com.tw/job/7bt2k?jobsource=n_my104_search
【DBA】SQL Server DBA / 資料庫管理工程師,瑞嘉軟體科技股份有限公司,,台北市內湖區,"月薪55,000~142,000元",//www.104.com.tw/job/6xt4l?jobsource=n_my104_search
Sr. Data Engineer - ETL specialist (可視訊面試及彈性WFH),美商網基股份有限公司台灣分公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/5oixz?jobsource=n_my104_search
〔資訊〕ASP.NET 系統分析師 (信用卡 - 收單/發卡/授權),台新金控_台新國際商業銀行股份有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/670xo?jobsource=n_my104_search
資料工程師,犀牛盾_愛進化科技股份有限公司,,台北市南港區,"年薪800,000~1,500,000元",//www.104.com.tw/job/7bdlv?jobsource=n_my104_search
Oracle Store Procedure PL/SQL 資深程式設計師/程式設計師,艾力特科技有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/6t1q4?jobsource=n_my104_search
商業智慧(BI)工程師,聯合通商電子商務股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/37tef?jobsource=n_my104_search
【資訊】資料工程師 Jr./Sr. Data Engineer (DW),將來商業銀行股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/6p7tn?jobsource=n_my104_search
數據工程師（Pi拍錢包）,PChome Online_網路家庭國際資訊(股)公司,,台北市大安區,待遇面議,//www.104.com.tw/job/7881h?jobsource=n_my104_search
總部-資訊部-資訊專員,燦坤實業股份有限公司,,台北市內湖區,"月薪35,000~65,000元",//www.104.com.tw/job/6xk7w?jobsource=n_my104_search
軟體程式設計師,沛華實業股份有限公司,,台北市大同區,待遇面議,//www.104.com.tw/job/4n2v5?jobsource=n_my104_search
【日商樂天】Data Engineer Intern (DEV),台灣樂天市場股份有限公司,,台北市中山區,時薪160~250元,//www.104.com.tw/job/7c78c?jobsource=n_my104_search
C#程式設計師(台北公司),廣晉軟體股份有限公司,,台北市大安區,"月薪30,000~40,000元",//www.104.com.tw/job/4ebad?jobsource=n_my104_search
Data Engineer 資料工程師,薩摩亞商奧創物聯有限公司台灣分公司,,台北市內湖區,"月薪50,000元以上",//www.104.com.tw/job/79ul3?jobsource=n_my104_search
cama café  資訊助理,cama cafe_咖碼股份有限公司,,台北市大安區,"月薪30,000~36,000元",//www.104.com.tw/job/7beb4?jobsource=n_my104_search
正職招募【知名金融集團】Java程式開發工程師/熟悉Java或SQL加分/年薪16~18個月/BIS_206,藝珂人事顧問股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/6lyb3?jobsource=n_my104_search
數據庫管理師(MYSQL DBA),大極科技有限公司,,台北市南港區,"月薪40,000~100,000元",//www.104.com.tw/job/75w5a?jobsource=n_my104_search
科技部資料庫工程師,麥當勞授權發展商_和德昌股份有限公司,,台北市中正區,待遇面議,//www.104.com.tw/job/79bno?jobsource=n_my104_search
科技金融_數據應用工程師,中國信託商業銀行股份有限公司,,台北市南港區,待遇面議,//www.104.com.tw/job/54m18?jobsource=n_my104_search
Microsoft Power BI 工程師,干城數碼有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/764ys?jobsource=n_my104_search
前端網頁工程師,美台華德科技股份有限公司,,台北市信義區,"月薪30,000~40,000元",//www.104.com.tw/job/758a1?jobsource=n_my104_search
【知名精緻食品企業】資訊專員(SQL/固定13個月/1年經驗以上)_MH,新加坡商立福人事顧問有限公司台灣分公司,,台北市內湖區,"月薪35,000元以上",//www.104.com.tw/job/71oya?jobsource=n_my104_search
cama café 資訊主管,cama cafe_咖碼股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/701tz?jobsource=n_my104_search
資訊 IT人員,沛華實業股份有限公司,,台北市大同區,待遇面議,//www.104.com.tw/job/64krq?jobsource=n_my104_search
資訊工程師,創新新零售股份有限公司,,台北市大同區,待遇面議,//www.104.com.tw/job/764rl?jobsource=n_my104_search
(Big Data Team) Senior Data Analyst,伊諾科技有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/70j5v?jobsource=n_my104_search
資料庫管理師(SQL Server),科萊博瑞科技有限公司,,台北市內湖區,"月薪30,000~45,000元",//www.104.com.tw/job/5cpnt?jobsource=n_my104_search
ASP.NET MVC 資深程式設計師-台北市,創創數位科技股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/7bjx5?jobsource=n_my104_search
資訊專員/高專,棉花田生機園地股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/74zq0?jobsource=n_my104_search
助理軟體工程師,英福達科技股份有限公司,,台北市中正區,"月薪30,000~45,000元",//www.104.com.tw/job/6ooed?jobsource=n_my104_search
APP程式開發工程師《資訊部》,台灣宅配通股份有限公司,,台北市南港區,待遇面議,//www.104.com.tw/job/7640p?jobsource=n_my104_search
系統網路課主管（台北）,旺旺集團_宜蘭食品工業股份有限公司,,台北市大同區,待遇面議,//www.104.com.tw/job/77vt7?jobsource=n_my104_search
資料工程師 Junior Data Engineer,聚典資訊股份有限公司,,台北市南港區,"月薪45,000~100,000元",//www.104.com.tw/job/798wd?jobsource=n_my104_search
資料庫工程師Database engineer (Big data / Open source database),歐立威科技股份有限公司,,台北市大同區,"月薪32,000~40,000元",//www.104.com.tw/job/4v0q8?jobsource=n_my104_search
Sr./ Data Engineer 資料工程師,17LIVE_英屬維京群島商藝啟股份有限公司臺灣分公司,,台北市中正區,待遇面議,//www.104.com.tw/job/6roij?jobsource=n_my104_search
